RACEID,YEAR,ROUND,NAME,F1DATE,TIME,URL,SCORE,DNF_COUNT,DNF_DUE_TO_ACCIDENT_COUNT,WEATHER,WEATHER_WET,CIRCUITREF,YEAR_C,RACE_COUNT,NAME_YEAR,OVERTAKEN_POSITIONS_TOTAL
378,1988,7,French Grand Prix,3-Jul-88,\N,http://en.wikipedia.org/wiki/1988_French_Grand_Prix,,16,1,Sunny and hot,N,ricard,1988,1,1988 French Grand Prix,0
380,1988,9,German Grand Prix,24-Jul-88,\N,http://en.wikipedia.org/wiki/1988_German_Grand_Prix,,13,4,Wet and cool,Y,hockenheimring,1988,1,1988 German Grand Prix,0
382,1988,11,Belgian Grand Prix,28-Aug-88,\N,http://en.wikipedia.org/wiki/1988_Belgian_Grand_Prix,,21,3,"Warm, dry and overcast",N,spa,1988,1,1988 Belgian Grand Prix,0
388,1987,1,Brazilian Grand Prix,12-Apr-87,\N,http://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix,,12,1,Sunny,N,jacarepagua,1987,1,1987 Brazilian Grand Prix,0
389,1987,2,San Marino Grand Prix,3-May-87,\N,http://en.wikipedia.org/wiki/1987_San_Marino_Grand_Prix,,17,2,"Sunny, warm",N,imola,1987,1,1987 San Marino Grand Prix,0
395,1987,8,German Grand Prix,26-Jul-87,\N,http://en.wikipedia.org/wiki/1987_German_Grand_Prix,,20,0,not found,N,hockenheimring,1987,1,1987 German Grand Prix,0
399,1987,12,Portuguese Grand Prix,20-Sep-87,\N,http://en.wikipedia.org/wiki/1987_Portuguese_Grand_Prix,,14,2,Dry,N,estoril,1987,1,1987 Portuguese Grand Prix,0
400,1987,13,Spanish Grand Prix,27-Sep-87,\N,http://en.wikipedia.org/wiki/1987_Spanish_Grand_Prix,,14,3,Sunny and hot,N,jerez,1987,1,1987 Spanish Grand Prix,0
405,1986,2,Spanish Grand Prix,13-Apr-86,\N,http://en.wikipedia.org/wiki/1986_Spanish_Grand_Prix,,17,2,"Warm, dry and sunny",N,jerez,1986,1,1986 Spanish Grand Prix,0
406,1986,3,San Marino Grand Prix,27-Apr-86,\N,http://en.wikipedia.org/wiki/1986_San_Marino_Grand_Prix,,19,1,"Overcast, warm",N,imola,1986,1,1986 San Marino Grand Prix,0
407,1986,4,Monaco Grand Prix,11-May-86,\N,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix,,13,3,"Sunny, mild, dry",N,monaco,1986,1,1986 Monaco Grand Prix,0
409,1986,6,Canadian Grand Prix,15-Jun-86,\N,http://en.wikipedia.org/wiki/1986_Canadian_Grand_Prix,,13,3,Dry with temperatures approaching 25 °C (77 °F); wind speeds up to 20.5 km/h (12.7 mph)[1],N,villeneuve,1986,1,1986 Canadian Grand Prix,0
410,1986,7,Detroit Grand Prix,22-Jun-86,\N,http://en.wikipedia.org/wiki/1986_Detroit_Grand_Prix,,16,3,Cloudy and hot with temperatures reaching up to 91 °F (33 °C); wind speeds up to 23 miles per hour (37 km/h)[1],N,detroit,1986,1,1986 Detroit Grand Prix,0
412,1986,9,British Grand Prix,13-Jul-86,\N,http://en.wikipedia.org/wiki/1986_British_Grand_Prix,,17,4,Sunny,N,brands_hatch,1986,1,1986 British Grand Prix,0
413,1986,10,German Grand Prix,27-Jul-86,\N,http://en.wikipedia.org/wiki/1986_German_Grand_Prix,,17,1,Dry,N,hockenheimring,1986,1,1986 German Grand Prix,0
416,1986,13,Italian Grand Prix,7-Sep-86,\N,http://en.wikipedia.org/wiki/1986_Italian_Grand_Prix,,17,3,Dry,N,monza,1986,1,1986 Italian Grand Prix,0
417,1986,14,Portuguese Grand Prix,21-Sep-86,\N,http://en.wikipedia.org/wiki/1986_Portuguese_Grand_Prix,,15,2,Dry,N,estoril,1986,1,1986 Portuguese Grand Prix,0
418,1986,15,Mexican Grand Prix,12-Oct-86,\N,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix,,13,2,Sunny and hot,N,rodriguez,1986,1,1986 Mexican Grand Prix,0
423,1985,4,Monaco Grand Prix,19-May-85,\N,http://en.wikipedia.org/wiki/1985_Monaco_Grand_Prix,,14,6,Dry,N,monaco,1985,1,1985 Monaco Grand Prix,0
426,1985,7,French Grand Prix,7-Jul-85,\N,http://en.wikipedia.org/wiki/1985_French_Grand_Prix,,12,4,not found,N,ricard,1985,1,1985 French Grand Prix,0
428,1985,9,German Grand Prix,4-Aug-85,\N,http://en.wikipedia.org/wiki/1985_German_Grand_Prix,,17,2,Dry,N,nurburgring,1985,1,1985 German Grand Prix,0
432,1985,13,Belgian Grand Prix,15-Sep-85,\N,http://en.wikipedia.org/wiki/1985_Belgian_Grand_Prix,,12,4,"Wet/Dry, drying up in later stages",Y,spa,1985,1,1985 Belgian Grand Prix,0
437,1984,2,South African Grand Prix,7-Apr-84,\N,http://en.wikipedia.org/wiki/1984_South_African_Grand_Prix,,16,0,Dry,N,kyalami,1984,1,1984 South African Grand Prix,0
439,1984,4,San Marino Grand Prix,6-May-84,\N,http://en.wikipedia.org/wiki/1984_San_Marino_Grand_Prix,,22,3,not found,N,imola,1984,1,1984 San Marino Grand Prix,0
443,1984,8,Detroit Grand Prix,24-Jun-84,\N,http://en.wikipedia.org/wiki/1984_Detroit_Grand_Prix,,22,7,Sunny and warm with temperatures reaching up to 77.9 °F (25.5 °C); wind speeds up to 11.3 miles per hour (18.2 km/h)[1],N,detroit,1984,1,1984 Detroit Grand Prix,0
445,1984,10,British Grand Prix,22-Jul-84,\N,http://en.wikipedia.org/wiki/1984_British_Grand_Prix,,17,5,not found,N,brands_hatch,1984,1,1984 British Grand Prix,0
447,1984,12,Austrian Grand Prix,19-Aug-84,\N,http://en.wikipedia.org/wiki/1984_Austrian_Grand_Prix,,17,1,Dry,N,osterreichring,1984,1,1984 Austrian Grand Prix,0
449,1984,14,Italian Grand Prix,9-Sep-84,\N,http://en.wikipedia.org/wiki/1984_Italian_Grand_Prix,,19,2,Dry,N,monza,1984,1,1984 Italian Grand Prix,0
450,1984,15,European Grand Prix,7-Oct-84,\N,http://en.wikipedia.org/wiki/1984_European_Grand_Prix,,17,5,Sunny,N,nurburgring,1984,1,1984 European Grand Prix,0
451,1984,16,Portuguese Grand Prix,21-Oct-84,\N,http://en.wikipedia.org/wiki/1984_Portuguese_Grand_Prix,,11,1,Dry,N,estoril,1984,1,1984 Portuguese Grand Prix,0
454,1983,3,French Grand Prix,17-Apr-83,\N,http://en.wikipedia.org/wiki/1983_French_Grand_Prix,,17,1,not found,N,ricard,1983,1,1983 French Grand Prix,0
460,1983,9,British Grand Prix,16-Jul-83,\N,http://en.wikipedia.org/wiki/1983_British_Grand_Prix,,12,0,not found,N,silverstone,1983,1,1983 British Grand Prix,0
463,1983,12,Dutch Grand Prix,28-Aug-83,\N,http://en.wikipedia.org/wiki/1983_Dutch_Grand_Prix,,18,4,Cloudy,N,zandvoort,1983,1,1983 Dutch Grand Prix,0
465,1983,14,European Grand Prix,25-Sep-83,\N,http://en.wikipedia.org/wiki/1983_European_Grand_Prix,,14,2,Dry,N,brands_hatch,1983,1,1983 European Grand Prix,0
466,1983,15,South African Grand Prix,15-Oct-83,\N,http://en.wikipedia.org/wiki/1983_South_African_Grand_Prix,,15,1,Dry,N,kyalami,1983,1,1983 South African Grand Prix,0
468,1982,2,Brazilian Grand Prix,21-Mar-82,\N,http://en.wikipedia.org/wiki/1982_Brazilian_Grand_Prix,,21,7,Dry,N,jacarepagua,1982,1,1982 Brazilian Grand Prix,0
653,1970,11,Canadian Grand Prix,20-Sep-70,\N,http://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix,,11,0,Mild with temperatures approaching 23.3 °C (73.9 °F); winds gusting up to 10.1 kilometres per hour (6.3 mph)[1],N,tremblant,1970,1,1970 Canadian Grand Prix,0
656,1969,1,South African Grand Prix,1-Mar-69,\N,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix,,10,0,"Hot, Dry",N,kyalami,1969,1,1969 South African Grand Prix,0
660,1969,5,French Grand Prix,6-Jul-69,\N,http://en.wikipedia.org/wiki/1969_French_Grand_Prix,,4,0,"Sunny, mild, dry",N,charade,1969,1,1969 French Grand Prix,0
664,1969,9,Canadian Grand Prix,20-Sep-69,\N,http://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix,,13,2,Mild with temperatures approaching 21.1 °C (70.0 °F); wind speeds up to 10.1 kilometres per hour (6.3 mph)[1],N,mosport,1969,1,1969 Canadian Grand Prix,0
666,1969,11,Mexican Grand Prix,19-Oct-69,\N,http://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix,,7,1,Warm and dry,N,rodriguez,1969,1,1969 Mexican Grand Prix,0
670,1968,4,Belgian Grand Prix,9-Jun-68,\N,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,,13,1,"Overcast, Dry",N,spa,1968,1,1968 Belgian Grand Prix,0
686,1967,8,Canadian Grand Prix,27-Aug-67,\N,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,,7,1,Rainy with temperatures up to 24.4 °C (75.9 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1],Y,mosport,1967,1,1967 Canadian Grand Prix,0
691,1966,2,Belgian Grand Prix,12-Jun-66,\N,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,,13,7,Overcast and wet,Y,spa,1966,1,1966 Belgian Grand Prix,0
700,1965,2,Monaco Grand Prix,30-May-65,\N,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,,9,1,not found,N,monaco,1965,1,1965 Monaco Grand Prix,0
704,1965,6,Dutch Grand Prix,18-Jul-65,\N,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,,4,0,not found,N,zandvoort,1965,1,1965 Dutch Grand Prix,0
715,1964,7,Austrian Grand Prix,23-Aug-64,\N,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,,11,2,Dry,N,zeltweg,1964,1,1964 Austrian Grand Prix,0
735,1962,7,Italian Grand Prix,16-Sep-62,\N,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,,19,0,"Dry, with rain later",Y,monza,1962,1,1962 Italian Grand Prix,0
761,1959,6,German Grand Prix,2-Aug-59,\N,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,,8,1,Dry and dull.,N,avus,1959,1,1959 German Grand Prix,0
764,1959,9,United States Grand Prix,12-Dec-59,\N,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,,13,1,Sunny with temperatures reaching up to 77 °F (25 °C); winds gusting up to 14 miles per hour (23 km/h)[1],N,sebring,1959,1,1959 United States Grand Prix,0
771,1958,7,British Grand Prix,19-Jul-58,\N,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,,11,0,not found,N,silverstone,1958,1,1958 British Grand Prix,0
776,1957,1,Argentine Grand Prix,13-Jan-57,\N,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,,4,0,not found,N,galvez,1957,1,1957 Argentine Grand Prix,0
785,1956,2,Monaco Grand Prix,13-May-56,\N,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,,10,3,"Warm, dry, sunny",N,monaco,1956,1,1956 Monaco Grand Prix,0
797,1955,6,British Grand Prix,16-Jul-55,\N,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,,17,0,"Hot, dry.[1]",N,aintree,1955,1,1955 British Grand Prix,0
806,1954,8,Italian Grand Prix,5-Sep-54,\N,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,,10,1,"Sunny, mild, dry",N,monza,1954,1,1954 Italian Grand Prix,0
815,1953,8,Swiss Grand Prix,23-Aug-53,\N,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,,12,2,"Sunny, mild, dry",N,bremgarten,1953,1,1953 Swiss Grand Prix,0
819,1952,3,Belgian Grand Prix,22-Jun-52,\N,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,,7,3,Rain,Y,spa,1952,1,1952 Belgian Grand Prix,0
825,1951,1,Swiss Grand Prix,27-May-51,\N,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,,7,3,not found,N,bremgarten,1951,1,1951 Swiss Grand Prix,0
829,1951,5,British Grand Prix,14-Jul-51,\N,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,,7,0,"Mild, Dry",N,silverstone,1951,1,1951 British Grand Prix,0
833,1950,1,British Grand Prix,13-May-50,\N,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,,11,0,"Sunny, mild, dry.",N,silverstone,1950,1,1950 British Grand Prix,0
1030,2019,21,Abu Dhabi Grand Prix,1-Dec-19,13:10:00,https://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix,5.6,1,0,Clear,N,yas_marina,2019,1,2019 Abu Dhabi Grand Prix,130
1034,2020,4,British Grand Prix,2-Aug-20,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,6.3,3,2,Partly cloudy,N,silverstone,2020,1,2020 British Grand Prix,76
1036,2020,6,Spanish Grand Prix,16-Aug-20,13:10:00,https://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,4.4,1,0,Partly cloudy,N,catalunya,2020,1,2020 Spanish Grand Prix,175
1037,2020,7,Belgian Grand Prix,30-Aug-20,13:10:00,https://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,4.5,3,1,Partly cloudy,N,spa,2020,1,2020 Belgian Grand Prix,67
1038,2020,8,Italian Grand Prix,6-Sep-20,13:10:00,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,8.4,4,1,Sunny,N,monza,2020,1,2020 Italian Grand Prix,153
1039,2020,9,Tuscan Grand Prix,13-Sep-20,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,7.2,8,6,Sunny,N,mugello,2020,1,2020 Tuscan Grand Prix,74
1042,2020,12,Portuguese Grand Prix,25-Oct-20,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,7.1,1,0,Cloudy,N,portimao,2020,1,2020 Portuguese Grand Prix,184
1045,2020,15,Bahrain Grand Prix,29-Nov-20,14:10:00,https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,6.3,3,2,Clear,N,bahrain,2020,1,2020 Bahrain Grand Prix,219
1051,2021,21,Australian Grand Prix,21-Nov-21,6:00:00,http://en.wikipedia.org/wiki/2021_Australian_Grand_Prix,,0,0,not found,N,albert_park,2021,1,2021 Australian Grand Prix,0
1054,2021,3,Portuguese Grand Prix,2-May-21,14:00:00,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix,,1,0,Light cloud,N,portimao,2021,1,2021 Portuguese Grand Prix,121
1057,2021,6,Azerbaijan Grand Prix,6-Jun-21,12:00:00,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix,,4,2,Sunny,N,BAK,2021,1,2021 Azerbaijan Grand Prix,130
1059,2021,7,French Grand Prix,20-Jun-21,13:00:00,http://en.wikipedia.org/wiki/2021_French_Grand_Prix,,0,0,Windy and partly cloudy. Ambient temperature: 24 to 27 °C (75 to 81 °F); Surface temperature: 33 to 38 °C (91 to 100 °F),N,ricard,2021,1,2021 French Grand Prix,166
1063,2021,12,Belgian Grand Prix,29-Aug-21,13:00:00,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix,,0,0,not found,N,spa,2021,1,2021 Belgian Grand Prix,0
1066,2021,15,Russian Grand Prix,26-Sep-21,12:00:00,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,,0,0,not found,N,sochi,2021,1,2021 Russian Grand Prix,0
1067,2021,16,Turkish Grand Prix,3-Oct-21,10:10:00,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix,,0,0,not found,N,istanbul,2021,1,2021 Turkish Grand Prix,0
1068,2021,17,Japanese Grand Prix,10-Oct-21,5:00:00,http://en.wikipedia.org/wiki/2021_Japanese_Grand_Prix,,0,0,not found,N,suzuka,2021,1,2021 Japanese Grand Prix,0
1069,2021,18,United States Grand Prix,24-Oct-21,19:00:00,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix,,0,0,not found,N,americas,2021,1,2021 United States Grand Prix,0
1072,2021,22,Saudi Arabian Grand Prix,5-Dec-21,16:00:00,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix,,0,0,not found,N,jeddah,2021,1,2021 Saudi Arabian Grand Prix,0
882,2013,3,Chinese Grand Prix,14-Apr-13,7:00:00,http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix,7.412,4,2,not found,N,shanghai,2013,1,2013 Chinese Grand Prix,292
890,2013,10,Hungarian Grand Prix,28-Jul-13,12:00:00,http://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix,7.677,5,0,"Very hot and sunny, 35°C.",N,hungaroring,2013,1,2013 Hungarian Grand Prix,197
892,2013,12,Italian Grand Prix,8-Sep-13,12:00:00,http://en.wikipedia.org/wiki/2013_Italian_Grand_Prix,5.84,2,1,Cloudy,N,monza,2013,1,2013 Italian Grand Prix,145
893,2013,13,Singapore Grand Prix,22-Sep-13,12:00:00,http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix,5.973,4,2,Dry and 29 degrees,N,marina_bay,2013,1,2013 Singapore Grand Prix,229
897,2013,17,Abu Dhabi Grand Prix,3-Nov-13,13:00:00,http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix,5.017,1,1,Clear,N,yas_marina,2013,1,2013 Abu Dhabi Grand Prix,213
909,2014,10,German Grand Prix,20-Jul-14,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prix,7.86,4,1,Cloudy with maximum temperatures reaching 26 degrees during the day.,N,hockenheimring,2014,1,2014 German Grand Prix,226
911,2014,12,Belgian Grand Prix,24-Aug-14,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,7.76,5,0,Mostly cloudy,N,spa,2014,1,2014 Belgian Grand Prix,207
934,2015,9,British Grand Prix,5-Jul-15,12:00:00,http://en.wikipedia.org/wiki/2015_British_Grand_Prix,7.95,7,4,"Cloudy, rain at times17–20 °C (63–68 °F) air temperature24–32 °C (75–90 °F) track temperature2.5 m/s (8.2 ft/s) wind from the east[2]",Y,silverstone,2015,1,2015 British Grand Prix,84
944,2015,18,Brazilian Grand Prix,15-Nov-15,16:00:00,https://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix,4.57,2,0,Dry22–28 °C (72–82 °F) air temperature38–48 °C (100–118 °F) track temperature2.5 m/s (8.2 ft/s) wind from the north[2],N,interlagos,2015,1,2015 Brazilian Grand Prix,198
949,2016,2,Bahrain Grand Prix,3-Apr-16,15:00:00,https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix,7.38,5,0,Dry21–22 °C (70–72 °F) air temperature26–29 °C (79–84 °F) track temperature2 m/s (6.6 ft/s) wind from the southwest[4],N,bahrain,2016,1,2016 Bahrain Grand Prix,292
951,2016,4,Russian Grand Prix,1-May-16,12:00:00,https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix,5.4,4,3,Partly cloudy16 °C (61 °F) air temperature37–41 °C (99–106 °F) track temperature2.5 m/s (8.2 ft/s) wind from the southwest[4],N,sochi,2016,1,2016 Russian Grand Prix,117
954,2016,7,Canadian Grand Prix,12-Jun-16,18:00:00,https://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix,6.58,3,0,Cloudy12 °C (54 °F) air temperature21–23 °C (70–73 °F) track temperature2.5 m/s (8.2 ft/s) wind from the southeast[4],N,villeneuve,2016,1,2016 Canadian Grand Prix,119
957,2016,10,British Grand Prix,10-Jul-16,12:00:00,https://en.wikipedia.org/wiki/2016_British_Grand_Prix,6.48,6,2,"Wet at start, dry later",Y,silverstone,2016,1,2016 British Grand Prix,241
962,2016,15,Singapore Grand Prix,18-Sep-16,12:00:00,https://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix,7.11,4,1,Clear30 °C (86 °F) air temperature34–35 °C (93–95 °F) track temperature1.5 m/s (4.9 ft/s) wind from the east[2],N,marina_bay,2016,1,2016 Singapore Grand Prix,221
963,2016,16,Malaysian Grand Prix,2-Oct-16,7:00:00,https://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix,8.01,6,1,Sunny33 °C (91 °F) air temperature49 °C (120 °F) track temperature2.8 m/s (9.2 ft/s) wind from the west[2],N,sepang,2016,1,2016 Malaysian Grand Prix,137
964,2016,17,Japanese Grand Prix,9-Oct-16,5:00:00,https://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix,6.98,0,0,Cloudy,N,suzuka,2016,1,2016 Japanese Grand Prix,227
974,2017,6,Monaco Grand Prix,28-May-17,12:00:00,https://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix,4.94,7,3,not found,N,monaco,2017,1,2017 Monaco Grand Prix,56
978,2017,10,British Grand Prix,16-Jul-17,12:00:00,https://en.wikipedia.org/wiki/2017_British_Grand_Prix,6.63,3,0,Overcast,N,silverstone,2017,1,2017 British Grand Prix,116
981,2017,13,Italian Grand Prix,3-Sep-17,12:00:00,https://en.wikipedia.org/wiki/2017_Italian_Grand_Prix,5.93,4,0,Sunny,N,monza,2017,1,2017 Italian Grand Prix,132
986,2017,18,Mexican Grand Prix,29-Oct-17,19:00:00,https://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix,6.85,5,0,"Sunny, dry",N,rodriguez,2017,1,2017 Mexican Grand Prix,100
987,2017,19,Brazilian Grand Prix,12-Nov-17,16:00:00,https://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix,6.74,4,3,not found,N,interlagos,2017,1,2017 Brazilian Grand Prix,91
988,2017,20,Abu Dhabi Grand Prix,26-Nov-17,13:00:00,https://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix,3.74,2,0,Clear,N,yas_marina,2017,1,2017 Abu Dhabi Grand Prix,79
993,2018,5,Spanish Grand Prix,13-May-18,13:10:00,https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix,4.81,6,3,"Partially cloudy and dry, 16°C and cold.",N,catalunya,2018,1,2018 Spanish Grand Prix,94
999,2018,11,German Grand Prix,22-Jul-18,13:10:00,https://en.wikipedia.org/wiki/2018_German_Grand_Prix,8.14,5,1,Overcast with intermittent rain,Y,hockenheimring,2018,1,2018 German Grand Prix,171
1004,2018,16,Russian Grand Prix,30-Sep-18,11:10:00,https://en.wikipedia.org/wiki/2018_Russian_Grand_Prix,4.8,2,0,not found,N,sochi,2018,1,2018 Russian Grand Prix,98
1010,2019,1,Australian Grand Prix,17-Mar-19,5:10:00,https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix,6.3,3,1,not found,N,albert_park,2019,1,2019 Australian Grand Prix,83
1011,2019,2,Bahrain Grand Prix,31-Mar-19,15:10:00,https://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix,8.5,4,0,Clear,N,bahrain,2019,1,2019 Bahrain Grand Prix,190
139,2002,16,United States Grand Prix,29-Sep-02,\N,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix,,4,0,Sunny with temperatures reaching up to 80.1 °F (26.7 °C); wind speeds approaching a maximum of 10.1 miles per hour (16.3 km/h)[1] Track 93 °F (34 °C),N,indianapolis,2002,1,2002 United States Grand Prix,106
144,2001,4,San Marino Grand Prix,15-Apr-01,\N,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix,,10,0,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)",N,imola,2001,1,2001 San Marino Grand Prix,76
146,2001,6,Austrian Grand Prix,13-May-01,\N,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix,,11,0,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)",N,osterreichring,2001,1,2001 Austrian Grand Prix,74
157,2001,17,Japanese Grand Prix,14-Oct-01,\N,http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix,,6,2,"Cloudy, Mild, Dry, Air Temp: 24°C",N,suzuka,2001,1,2001 Japanese Grand Prix,120
174,2000,17,Malaysian Grand Prix,22-Oct-00,\N,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix,,10,3,"Overcast, Very hot, Dry",N,sepang,2000,1,2000 Malaysian Grand Prix,142
176,1999,2,Brazilian Grand Prix,11-Apr-99,\N,http://en.wikipedia.org/wiki/1999_Brazilian_Grand_Prix,,14,3,"Sunny, hot, dry 25 °C (77 °F)[1]",N,interlagos,1999,1,1999 Brazilian Grand Prix,118
181,1999,7,French Grand Prix,27-Jun-99,\N,http://en.wikipedia.org/wiki/1999_French_Grand_Prix,,11,5,"Overcast, mild, dry at first, rain later on",Y,magny_cours,1999,1,1999 French Grand Prix,106
195,1998,5,Spanish Grand Prix,10-May-98,\N,http://en.wikipedia.org/wiki/1998_Spanish_Grand_Prix,,5,2,Sunny and warm,N,catalunya,1998,1,1998 Spanish Grand Prix,69
205,1998,15,Luxembourg Grand Prix,27-Sep-98,\N,http://en.wikipedia.org/wiki/1998_Luxembourg_Grand_Prix,,6,0,not found,N,nurburgring,1998,1,1998 Luxembourg Grand Prix,99
208,1997,2,Brazilian Grand Prix,30-Mar-97,\N,http://en.wikipedia.org/wiki/1997_Brazilian_Grand_Prix,,5,1,Overcast and dry with temperatures reaching up to 23 °C (73 °F)[1],N,interlagos,1997,1,1997 Brazilian Grand Prix,162
211,1997,5,Monaco Grand Prix,11-May-97,\N,http://en.wikipedia.org/wiki/1997_Monaco_Grand_Prix,,12,12,"Overcast, cold and rain, air temperature 11 °C (52 °F)",Y,monaco,1997,1,1997 Monaco Grand Prix,44
214,1997,8,French Grand Prix,29-Jun-97,\N,http://en.wikipedia.org/wiki/1997_French_Grand_Prix,,11,6,"Dry at first, rain in closing stages",Y,magny_cours,1997,1,1997 French Grand Prix,66
231,1996,8,Canadian Grand Prix,16-Jun-96,\N,http://en.wikipedia.org/wiki/1996_Canadian_Grand_Prix,,14,4,Mostly sunny and warm with temperatures approaching 26 °C (79 °F)[1],N,villeneuve,1996,1,1996 Canadian Grand Prix,61
238,1996,15,Portuguese Grand Prix,22-Sep-96,\N,http://en.wikipedia.org/wiki/1996_Portuguese_Grand_Prix,,4,3,Mostly sunny with ambient temperatures reaching 25 °C during the day.,N,estoril,1996,1,1996 Portuguese Grand Prix,127
35,2008,18,Brazilian Grand Prix,2-Nov-08,17:00:00,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix,8.756,2,2,"Rain at beginning and end, otherwise drying",Y,interlagos,2008,1,2008 Brazilian Grand Prix,183
41,2007,6,Canadian Grand Prix,10-Jun-07,17:00:00,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix,,10,5,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1],N,villeneuve,2007,1,2007 Canadian Grand Prix,260
242,1995,3,San Marino Grand Prix,30-Apr-95,\N,http://en.wikipedia.org/wiki/1995_San_Marino_Grand_Prix,,12,3,"Heavy rain before the start, before brightening up",Y,imola,1995,1,1995 San Marino Grand Prix,0
252,1995,13,Portuguese Grand Prix,24-Sep-95,\N,http://en.wikipedia.org/wiki/1995_Portuguese_Grand_Prix,,7,2,Sunny,N,estoril,1995,1,1995 Portuguese Grand Prix,0
255,1995,16,Japanese Grand Prix,29-Oct-95,\N,http://en.wikipedia.org/wiki/1995_Japanese_Grand_Prix,,12,8,"Rain, later dried out",Y,suzuka,1995,1,1995 Japanese Grand Prix,0
261,1994,5,Spanish Grand Prix,29-May-94,\N,http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix,,17,4,Sunny,N,catalunya,1994,1,1994 Spanish Grand Prix,0
